,일자,요일,지점명,8시,9시,10시
4459,20220420,수,한남대교,5668.0,4913.0,4598.0
4460,20220421,목,한남대교,5773.0,5192.0,4518.0
4461,20220422,금,한남대교,5521.0,4999.0,4513.0
4464,20220425,월,한남대교,5207.0,4295.0,4181.0
4465,20220426,화,한남대교,5879.0,4798.0,4683.0
4466,20220427,수,한남대교,5660.0,5116.0,4683.0
4467,20220428,목,한남대교,5685.0,5182.0,4861.0
4468,20220429,금,한남대교,5509.0,5098.0,4734.0
4589,20220502,월,한남대교,5320.0,4842.0,4404.0
4590,20220503,화,한남대교,5807.0,4974.0,5026.0
4591,20220504,수,한남대교,5678.0,5132.0,4786.0
4593,20220506,금,한남대교,5013.0,4880.0,5066.0
4596,20220509,월,한남대교,5393.0,4723.0,4623.0
4597,20220510,화,한남대교,5722.0,5243.0,4947.0
4598,20220511,수,한남대교,5706.0,5374.0,5317.0
4599,20220512,목,한남대교,5534.0,5321.0,4807.0
4600,20220513,금,한남대교,5450.0,4823.0,4755.0
4603,20220516,월,한남대교,5676.0,5011.0,4764.0
4604,20220517,화,한남대교,5682.0,5393.0,4938.0
4605,20220518,수,한남대교,5511.0,5179.0,4863.0
4606,20220519,목,한남대교,5464.0,5296.0,5008.0
4607,20220520,금,한남대교,5595.0,5018.0,4889.0
4610,20220523,월,한남대교,4991.0,5025.0,4735.0
4611,20220524,화,한남대교,5297.0,5091.0,4750.0
4612,20220525,수,한남대교,5564.0,5181.0,4807.0
4613,20220526,목,한남대교,5508.0,5231.0,4811.0
4614,20220527,금,한남대교,5489.0,4548.0,4843.0
4617,20220530,월,한남대교,5708.0,4990.0,4763.0
